dataset,batch_size,layer,top-n,precision,recall,f1
ml-1m,256,1,5,0.4710264900662252,0.5198675496688742,0.4876202302112898
ml-1m,256,1,10,0.6051097839798171,0.6953642384105961,0.6360352618412919
ml-1m,256,1,15,0.6656386820501059,0.7880794701986755,0.7085299248822935
ml-1m,256,1,20,0.7036351429648565,0.8451986754966887,0.753885952571999
ml-1m,256,1,25,0.7197408261933268,0.8733443708609272,0.7751505819482462
ml-1m,256,1,30,0.7314144130686342,0.8981788079470199,0.7917776815844131
ml-1m,256,1,35,0.7390039598637939,0.9130794701986756,0.803035807179098
ml-1m,256,1,5,0.44448123620309055,0.4958609271523179,0.4615828340166089
ml-1m,256,1,10,0.6020238752233786,0.7052980132450332,0.6375482708057211
ml-1m,256,1,15,0.6704039338145299,0.7988410596026491,0.7153763299121002
ml-1m,256,1,20,0.7011546607366144,0.8551324503311258,0.7558345800731127
ml-1m,256,1,25,0.7201358220792642,0.8915562913907285,0.7820420682039932
ml-1m,256,1,30,0.7339304993451499,0.9147350993377484,0.8000953946960102
ml-1m,256,1,35,0.7395866180925064,0.9312913907284768,0.810822497000229
ml-1m,256,1,5,0.5046495584988961,0.5579470198675497,0.522621018606118
ml-1m,256,1,10,0.6364599758225586,0.7384105960264901,0.6723482643184631
ml-1m,256,1,15,0.6926103536823736,0.8228476821192053,0.7390371079114556
ml-1m,256,1,20,0.7264145306388197,0.8758278145695364,0.780805772975246
ml-1m,256,1,25,0.7406399153518781,0.902317880794702,0.8000117620348053
ml-1m,256,1,30,0.7477210951641423,0.9230132450331126,0.8124661236038321
ml-1m,256,1,35,0.7598495759502859,0.941225165562914,0.8271530962802529
ml-1m,256,1,5,0.431153421633554,0.4793046357615894,0.4472583569851781
ml-1m,256,1,10,0.5900205639651005,0.6796357615894039,0.6214202372314954
ml-1m,256,1,15,0.6588466789832684,0.7864238410596026,0.7037131168287434
ml-1m,256,1,20,0.6968723304651674,0.8443708609271523,0.7498051678501443
ml-1m,256,1,25,0.7111587633581423,0.8733443708609272,0.7697820620082978
ml-1m,256,1,30,0.7235075402442162,0.9006622516556292,0.7878300220212793
ml-1m,256,1,35,0.7313259014986424,0.9205298013245032,0.8005729163171332
ml-1m,256,1,5,0.4554359823399558,0.5115894039735099,0.474344318301272
ml-1m,256,1,10,0.5873311521076422,0.6945364238410596,0.624361154390128
ml-1m,256,1,15,0.6299577032606835,0.765728476821192,0.6776568000772478
ml-1m,256,1,20,0.6714461326855415,0.8286423841059603,0.7281604931284283
ml-1m,256,1,25,0.7046823059305312,0.8741721854304636,0.7665549273242613
ml-1m,256,1,30,0.7148815656482873,0.8990066225165563,0.7825588766355056
ml-1m,256,1,35,0.7252746448139895,0.918046357615894,0.7966408433664586
ml-1m,256,1,5,0.4801600441501104,0.5331125827814569,0.4978785609166404
ml-1m,256,1,10,0.6066379559550089,0.7110927152317881,0.6428566015316113
ml-1m,256,1,15,0.660094440144109,0.7938741721854304,0.7077014667943758
ml-1m,256,1,20,0.6898363900469957,0.8468543046357616,0.7459731755631988
ml-1m,256,1,25,0.7131624013106529,0.8832781456953642,0.7748964066849857
ml-1m,256,1,30,0.7269659029117493,0.9039735099337748,0.792148620992409
ml-1m,256,1,35,0.7350090423688755,0.9188741721854304,0.8033031682563196
ml-1m,256,1,5,0.5245584988962473,0.5852649006622517,0.5454220540313255
ml-1m,256,1,10,0.6544718411647219,0.7624172185430463,0.6919699201752669
ml-1m,256,1,15,0.7028177626273652,0.8377483443708609,0.7509164347078003
ml-1m,256,1,20,0.7304699288502442,0.8932119205298014,0.7884251388708232
ml-1m,256,1,25,0.7424093343917318,0.918046357615894,0.8057229960735126
ml-1m,256,1,30,0.7411199136571346,0.9246688741721856,0.8082488390903987
ml-1m,256,1,35,0.7415330778267971,0.9362582781456954,0.812703271125498
ml-1m,256,1,5,0.496619757174393,0.5496688741721855,0.5142410385787869
ml-1m,256,1,10,0.6342051666141071,0.7326158940397351,0.6682455054143795
ml-1m,256,1,15,0.6850444602307185,0.8162251655629139,0.7320317212429847
ml-1m,256,1,20,0.7130313716820339,0.8634105960264901,0.7676235433057532
ml-1m,256,1,25,0.7235507999692975,0.8923841059602649,0.7849001313040669
ml-1m,256,1,30,0.7339498652685316,0.9147350993377484,0.7999669665273274
ml-1m,256,1,35,0.7443745998613455,0.929635761589404,0.8126802588754483
ml-1m,256,1,5,0.5387831125827813,0.5927152317880795,0.5577229843372227
ml-1m,256,1,10,0.6713907941763901,0.777317880794702,0.7088932721663049
ml-1m,256,1,15,0.7236344781046767,0.8600993377483444,0.7722217419291559
ml-1m,256,1,20,0.7435889313311888,0.8981788079470199,0.7999534819210079
ml-1m,256,1,25,0.757751255634562,0.925496688741722,0.8191639751892321
ml-1m,256,1,30,0.7625172353812399,0.9403973509933776,0.8288261133581522
ml-1m,256,1,35,0.7675480101609055,0.9552980132450332,0.8379614135307161
ml-1m,256,1,5,0.4695502207505519,0.5132450331125827,0.4844068642909702
ml-1m,256,1,10,0.6048795069904339,0.6970198675496688,0.6371264244401662
ml-1m,256,1,15,0.6699273661401145,0.793046357615894,0.7137136375636929
ml-1m,256,1,20,0.6930233902654287,0.8377483443708609,0.7447145966580734
ml-1m,256,1,25,0.7125143028704233,0.8716887417218543,0.7701273542195715
ml-1m,256,1,30,0.7263577036109271,0.9014900662251656,0.7898570124679064
ml-1m,256,1,35,0.7347670932897058,0.918046357615894,0.8016779314761173
ml-1m,256,2,5,0.6694122516556292,0.7533112582781457,0.6979541154210028
ml-1m,256,2,10,0.7446891753390097,0.8716887417218543,0.7901799011802241
ml-1m,256,2,15,0.7689775617134889,0.9130794701986756,0.8215709125549667
ml-1m,256,2,20,0.7880706890847939,0.9470198675496688,0.8471441131280317
ml-1m,256,2,25,0.7872371683898425,0.961092715231788,0.8520056581576904
ml-1m,256,2,30,0.7891140387291067,0.9718543046357616,0.8578403137571246
ml-1m,256,2,35,0.7889123353512962,0.9776490066225164,0.8605219607985654
ml-1m,256,2,5,0.6942604856512142,0.7698675496688742,0.7212242457689477
ml-1m,256,2,10,0.7512913250289078,0.8700331125827815,0.7946051694525491
ml-1m,256,2,15,0.7705854369140792,0.9155629139072848,0.8236884842881127
ml-1m,256,2,20,0.7824602598805603,0.9437086092715232,0.8423823880456539
ml-1m,256,2,25,0.786366225448815,0.9586092715231788,0.8512317470109024
ml-1m,256,2,30,0.7840986573278907,0.9644039735099338,0.8529193315620736
ml-1m,256,2,35,0.7871690715464269,0.9751655629139072,0.8594271896800038
ml-1m,256,2,5,0.7166114790286976,0.8021523178807947,0.746565226532114
ml-1m,256,2,10,0.7564585961316093,0.8857615894039735,0.8031056209101054
ml-1m,256,2,15,0.7787031539101076,0.9263245033112584,0.8334856970589243
ml-1m,256,2,20,0.7892747001346726,0.9437086092715232,0.8475019946978923
ml-1m,256,2,25,0.7954232977533751,0.961092715231788,0.8580392030294182
ml-1m,256,2,30,0.7954875222061534,0.9668874172185432,0.8610518621967566
ml-1m,256,2,35,0.7937448914077948,0.9701986754966888,0.8617489455724359
ml-1m,256,2,5,0.6867411699779249,0.7731788079470199,0.7164170083044255
ml-1m,256,2,10,0.7468483916745505,0.8725165562913907,0.7917762134543832
ml-1m,256,2,15,0.773932602533596,0.9254966887417221,0.8285191672306134
ml-1m,256,2,20,0.7775631739312976,0.9445364238410596,0.8385868948204019
ml-1m,256,2,25,0.7874653670843598,0.9602649006622516,0.8516871077423819
ml-1m,256,2,30,0.7881143814086263,0.9693708609271524,0.856241818689167
ml-1m,256,2,35,0.7854700395388384,0.9743377483443708,0.8572461693048082
ml-1m,256,2,5,0.6168598233995585,0.6887417218543046,0.6413618206664564
ml-1m,256,2,10,0.7193058183538316,0.8278145695364238,0.7579055726908406
