dataset,batch_size,layer,top-n,precision,recall,f1
ml-1m,4,2,5,0.097682119205298,0.09933774834437084,0.09823399558498896
ml-1m,4,2,10,0.2394453642384106,0.2533112582781457,0.2440594449700409
ml-1m,4,2,15,0.3443708609271523,0.3725165562913907,0.35376876618598474
ml-1m,4,2,20,0.4145516183595654,0.4619205298013245,0.4304145136342253
ml-1m,4,2,25,0.4796602243415157,0.5413907284768212,0.5004983651340242
ml-1m,4,2,30,0.5318450439828751,0.6067880794701986,0.5575903676897055
ml-1m,4,2,35,0.5562847917864717,0.6456953642384106,0.5875732052519923
ml-1m,4,2,5,0.10264900662251657,0.1043046357615894,0.10320088300220748
ml-1m,4,2,10,0.2420667770419425,0.25496688741721857,0.24637732576474305
ml-1m,4,2,15,0.3281870860927153,0.3543046357615894,0.33727757709545786
ml-1m,4,2,20,0.4219203327026174,0.4693708609271523,0.4382089626708832
ml-1m,4,2,25,0.4791571402291601,0.543046357615894,0.5016271664426124
ml-1m,4,2,30,0.5384808647018912,0.6167218543046358,0.5662950784800348
ml-1m,4,2,35,0.58453493939835,0.6796357615894039,0.6177737416648696
ml-1m,4,2,5,0.1342439293598234,0.1357615894039735,0.13476821192052982
ml-1m,4,2,10,0.2705081204667297,0.2847682119205298,0.27540147490478617
ml-1m,4,2,15,0.38923213927353,0.4246688741721854,0.40146175568361
ml-1m,4,2,20,0.4671557999579522,0.5190397350993378,0.4849961269256485
ml-1m,4,2,25,0.5262657021969935,0.5935430463576159,0.5498597139514629
ml-1m,4,2,30,0.5717283406439037,0.6572847682119205,0.6014349705371761
ml-1m,4,2,35,0.6049615234838744,0.7028145695364238,0.6393870532470978
ml-1m,4,2,5,0.03725165562913908,0.03725165562913908,0.03725165562913908
ml-1m,4,2,10,0.14728200883002207,0.15231788079470202,0.148998738568275
ml-1m,4,2,15,0.2524558498896247,0.26986754966887416,0.2582571218332808
ml-1m,4,2,20,0.3444122516556291,0.3766556291390729,0.3549431758454937
ml-1m,4,2,25,0.4132141543151477,0.456953642384106,0.42794405525219703
ml-1m,4,2,30,0.465814908509445,0.5289735099337748,0.4872104546071188
ml-1m,4,2,35,0.5031281080949955,0.5794701986754967,0.5292392952972265
ml-1m,4,2,5,0.1668046357615894,0.16804635761589404,0.1672185430463576
ml-1m,4,2,10,0.3185706401766004,0.3360927152317881,0.3243574582150741
ml-1m,4,2,15,0.4076631977294229,0.4445364238410596,0.420063683557061
ml-1m,4,2,20,0.4781029906443813,0.5331125827814569,0.4971490116601141
ml-1m,4,2,25,0.5240214049195837,0.5951986754966887,0.548697883444567
ml-1m,4,2,30,0.5701646633351931,0.6548013245033113,0.6001094455741633
ml-1m,4,2,35,0.6044455358653595,0.6995033112582781,0.6379478658827593
ml-1m,4,2,5,0.13396799116997793,0.1357615894039735,0.13451986754966888
ml-1m,4,2,10,0.27780077262693154,0.2963576158940397,0.2838970356354463
ml-1m,4,2,15,0.3610789183222958,0.3990066225165563,0.3735388415851992
ml-1m,4,2,20,0.4283033743298644,0.4817880794701987,0.4466251923205566
ml-1m,4,2,25,0.4945341243561441,0.5645695364238411,0.5187384621719449
ml-1m,4,2,30,0.5335518487215508,0.6167218543046358,0.5621328309269127
ml-1m,4,2,35,0.5731574716674054,0.668046357615894,0.606027401557229
ml-1m,4,2,5,0.09478476821192053,0.09519867549668874,0.09492273730684328
ml-1m,4,2,10,0.22164735099337748,0.2284768211920529,0.22381346578366448
ml-1m,4,2,15,0.3348825291706087,0.35844370860927155,0.3426773649455769
ml-1m,4,2,20,0.4128547776726584,0.4503311258278146,0.4253514237785761
ml-1m,4,2,25,0.4822000157678966,0.5331125827814569,0.4993752384480861
ml-1m,4,2,30,0.5296436455376853,0.5951986754966887,0.5523053105834563
ml-1m,4,2,35,0.5653876453752281,0.6440397350993378,0.5930064915444251
ml-1m,4,2,5,0.10375275938189846,0.10513245033112582,0.10416666666666666
ml-1m,4,2,10,0.2385485651214128,0.2524834437086093,0.2431389940081993
ml-1m,4,2,15,0.3399006622516557,0.3675496688741722,0.34938653601733066
ml-1m,4,2,20,0.41710350907370775,0.4627483443708609,0.4326967780196256
ml-1m,4,2,25,0.4709774657829294,0.5364238410596026,0.4933593498491726
ml-1m,4,2,30,0.5173998360883586,0.5985099337748344,0.5451509275053217
ml-1m,4,2,35,0.5536799411908334,0.6481788079470199,0.5861183441650565
ml-1m,4,2,5,0.0891280353200883,0.0902317880794702,0.08951434878587196
ml-1m,4,2,10,0.24158388520971305,0.2516556291390729,0.24497792494481235
ml-1m,4,2,15,0.3400524282560706,0.369205298013245,0.3500108105654463
ml-1m,4,2,20,0.42733660517187,0.4759933774834437,0.4442038461906012
ml-1m,4,2,25,0.4812197483348145,0.5538079470198676,0.5061125569610669
ml-1m,4,2,30,0.5254617898657633,0.6125827814569537,0.5557365760109851
ml-1m,4,2,35,0.5593910286273697,0.6639072847682119,0.5951787107758738
ml-1m,4,2,5,0.10527041942604856,0.1076158940397351,0.10607064017660044
ml-1m,4,2,10,0.22081953642384106,0.2334437086092715,0.2248817407757805
ml-1m,4,2,15,0.3056015452538631,0.3344370860927152,0.31510003058016306
ml-1m,4,2,20,0.3771385209713024,0.4188741721854304,0.3910885012706205
ml-1m,4,2,25,0.4370732812992747,0.4925496688741722,0.4559349728637808
ml-1m,4,2,30,0.4779652305935418,0.5521523178807947,0.5029521270649174
ml-1m,4,2,35,0.5246774174133445,0.6076158940397351,0.5529697809291038
ml-1m,8,2,5,0.3344370860927152,0.3485099337748344,0.3391122674235257
ml-1m,8,2,10,0.5044465468306528,0.5521523178807947,0.5208709612683123
ml-1m,8,2,15,0.5654748764848102,0.6307947019867549,0.5884769526765354
ml-1m,8,2,20,0.6219566971843462,0.7044701986754967,0.6510296413782205
ml-1m,8,2,25,0.6476466471810015,0.7483443708609272,0.6829208966074872
ml-1m,8,2,30,0.670980127682991,0.7789735099337748,0.7090791557006099
ml-1m,8,2,35,0.6826970816573478,0.7996688741721855,0.7249791356986199
ml-1m,8,2,5,0.2471026490066225,0.2582781456953642,0.2508554083885209
ml-1m,8,2,10,0.4178669977924944,0.4577814569536424,0.43151733751899307
ml-1m,8,2,15,0.5119218437927048,0.5736754966887417,0.533337286878757
ml-1m,8,2,20,0.5747226812003302,0.6539735099337748,0.6030081106771663
ml-1m,8,2,25,0.6151793534182997,0.7094370860927153,0.6491343397429294
ml-1m,8,2,30,0.6411441090948067,0.7533112582781457,0.6814288266573828
ml-1m,8,2,35,0.6651970842973357,0.7922185430463576,0.7105935095589695
ml-1m,8,2,5,0.2669426048565121,0.28311258278145696,0.2723812151792284
ml-1m,8,2,10,0.4254651529485967,0.466887417218543,0.4396407976194692
ml-1m,8,2,15,0.5339243009565857,0.597682119205298,0.5556091111405015
ml-1m,8,2,20,0.5819777582608708,0.6697019867549668,0.6124932274026932
ml-1m,8,2,25,0.6327538298254358,0.7309602649006622,0.6678708291005673
ml-1m,8,2,30,0.6660884988752558,0.7731788079470199,0.7045662454800063
ml-1m,8,2,35,0.6910100830372738,0.8054635761589404,0.7329560382591609
ml-1m,8,2,5,0.2772488962472406,0.2889072847682119,0.2812953327026175
ml-1m,8,2,10,0.44569536423841055,0.4875827814569537,0.4602828187265274
ml-1m,8,2,15,0.5326105783473333,0.5968543046357616,0.5551391482548962
ml-1m,8,2,20,0.6033566507076441,0.6796357615894039,0.6304333438824028
ml-1m,8,2,25,0.6394276425232334,0.7309602649006622,0.6724843928300979
ml-1m,8,2,30,0.6724129381255891,0.7756622516556292,0.7099717264201486
ml-1m,8,2,35,0.6851430547513551,0.8004966887417219,0.7274352142774225
ml-1m,8,2,5,0.2731098233995585,0.2872516556291391,0.2778342794071271
ml-1m,8,2,10,0.4606420161883738,0.5,0.4739321852562016
ml-1m,8,2,15,0.5598946835908756,0.6291390728476821,0.583223121827492
ml-1m,8,2,20,0.617639289058991,0.7011589403973509,0.6468915875729712
ml-1m,8,2,25,0.6545257815506595,0.7524834437086093,0.6891105610726465
ml-1m,8,2,30,0.6795250406542772,0.7905629139072847,0.7188693174546011
ml-1m,8,2,35,0.6912494336336998,0.8096026490066225,0.734014982911461
ml-1m,8,2,5,0.3338852097130243,0.3476821192052981,0.3385249132765689
ml-1m,8,2,10,0.4766733680227058,0.5190397350993378,0.4911506080380253
ml-1m,8,2,15,0.5511406938352302,0.6158940397350994,0.5740385820448047
ml-1m,8,2,20,0.6073850760626422,0.6970198675496688,0.6386372761245461
ml-1m,8,2,25,0.6430751651607709,0.7524834437086093,0.6818117636596348
ml-1m,8,2,30,0.6710842527378443,0.7947019867549668,0.7149745156223241
ml-1m,8,2,35,0.6930770850489117,0.8220198675496688,0.7396535238629367
ml-1m,8,2,5,0.29339128035320083,0.30463576158940403,0.2972327341532639
ml-1m,8,2,10,0.4543736203090508,0.4925496688741722,0.4674986621178675
ml-1m,8,2,15,0.5386921186797013,0.6026490066225165,0.5611811349333261
ml-1m,8,2,20,0.5922989951549553,0.668046357615894,0.6194889840678757
ml-1m,8,2,25,0.6282253069723853,0.7201986754966887,0.6611718989977654
ml-1m,8,2,30,0.6579397538627672,0.7632450331125827,0.6961296541257639
ml-1m,8,2,35,0.6837990256215029,0.7980132450331126,0.725416826095748
ml-1m,8,2,5,0.31810154525386314,0.3369205298013245,0.3246511352885525
ml-1m,8,2,10,0.4630820981814361,0.5124172185430463,0.4799884312545005
ml-1m,8,2,15,0.5474318038473668,0.6241721854304636,0.5743746604528953
ml-1m,8,2,20,0.5977727754217821,0.6912251655629139,0.6307200858145924
ml-1m,8,2,25,0.6377567199173161,0.7475165562913907,0.6764440050205072
ml-1m,8,2,30,0.6598749777989252,0.7855960264900662,0.7040389250244692
ml-1m,8,2,35,0.6796082760885876,0.8153973509933775,0.7278902371577317
ml-1m,8,2,5,0.28090507726269315,0.2955298013245033,0.2857064017660044
ml-1m,8,2,10,0.4487878429517502,0.4884105960264901,0.4622446675840716
ml-1m,8,2,15,0.5411085488279197,0.6092715231788081,0.5649165266301027
ml-1m,8,2,20,0.5978404666525527,0.6879139072847682,0.6298748287510837
ml-1m,8,2,25,0.6371825814913563,0.7417218543046358,0.6745123344811613
ml-1m,8,2,30,0.6675466173198653,0.7814569536423841,0.7085691721354763
ml-1m,8,2,35,0.6824047980700355,0.8062913907284768,0.7273523397185697
ml-1m,8,2,5,0.26469370860927155,0.27731788079470193,0.2690870387890255
ml-1m,8,2,10,0.4407422737306844,0.4809602649006622,0.4547392085471556
ml-1m,8,2,15,0.5391719047141232,0.6001655629139073,0.5609389494578918
ml-1m,8,2,20,0.6069706484648538,0.6829470198675497,0.6341285765984949
ml-1m,8,2,25,0.6379587610237444,0.7268211920529801,0.6698025946909589
ml-1m,8,2,30,0.6774494698312051,0.7839403973509934,0.7155179575615351
ml-1m,8,2,35,0.6903388431147706,0.8096026490066225,0.7333291358393703
ml-1m,16,2,5,0.413507174392936,0.4420529801324503,0.422766871649322
ml-1m,16,2,10,0.5699102543887312,0.6407284768211919,0.5944581770326803
ml-1m,16,2,15,0.6253442772275554,0.7243377483443708,0.6603255311060474
ml-1m,16,2,20,0.6691036635366105,0.7839403973509934,0.7103251439232857
ml-1m,16,2,25,0.6959376856213029,0.8228476821192053,0.7419210244559106
ml-1m,16,2,30,0.7105108177849486,0.8485099337748344,0.7608130504041483
ml-1m,16,2,35,0.7206824223998234,0.8708609271523179,0.7753413535234142
ml-1m,16,2,5,0.4429773730684327,0.4793046357615894,0.4553058971933144
ml-1m,16,2,10,0.5679382818248713,0.6365894039735099,0.5923227098346402
